"id","prefLabel","displayLabel","definition","status","altLabel","labelTypes","notes","noteTypes","examples","collections","schemes","paths","tags"
"vmc:c-000007","Production Location","production","A real place that is used when producing the Creative Work.","published","production","omcToken","","","Sound Stage 3 can be used to create the depiction of 'MegaCorp boardroom', and the estate at West Wycombe Park is used to depict some locations in Pride and Prejudice and Zombies.","coll:omc-000B3 | coll:omc-0022A","","production",""
"vmc:c-00000A","Production Prop","productionProp","An Asset used in the Depiction of a Narrative Prop.","published","productionProp","omcToken","","","","coll:omc-0002B","","productionProp",""
"vmc:c-000422","Production Set Dressing","productionSetDressing","Assets used in the depiction of Narrative Set Dressing.","published","productionSetDressing","omcToken","","","","coll:omc-0002B","","productionSetDressing",""
"vmc:c-00040a","Production Vehicle","productionSetDressing.productionVehicle | productionProp.productionVehicle","An Asset used in the Depiction of a Narrative Vehicle ","published","productionVehicle","omcToken","","","","coll:omc-0002B","","productionSetDressing.productionVehicle | productionProp.productionVehicle",""
"omc:001A3","projectionMap","projectionMap","","published","projectionMap","omcToken","","","","coll:omc-00198","","projectionMap",""
"omc:0006B","proxy","proxy","A lower quality representation of an Asset.","published","proxy","omcToken","","","","coll:omc-0002B","","proxy",""
"omc:0028E","PRP","PRP","Props: audio content information.","published","PRP","omcToken","","","","coll:omc-002AD","","PRP",""
"omc:00292","R","R","Right channel","published","R","omcToken","","","","coll:omc-0025B","","R",""
"omc:0029C","Rc","Rc","Right Center channel","published","Rc","omcToken","","","","coll:omc-0025B","","Rc",""
"vmc:c-0003BC","Recorder Metadata","recorderMetadata","Information about a Recorder and the recording media.","published","recorderMetadata","omcToken","","","","coll:omc-0002B","","recorderMetadata",""
"omc:0021F","regional","regional","A title unique to a particular territory or otherwise used outside the work’s original home territory, such as local titles given to foreign imports. May be in the same language as the Release title.","published","regional","omcToken","","","","coll:omc-0021B","","regional",""
"omc:00220","release","release","The original release title for the work.","published","release","omcToken","","","","coll:omc-0021B","","release",""
"omc:002A1","Rh","Rh","Right Height channel","published","Rh","omcToken","","","","coll:omc-0025B","","Rh",""
"omc:00189","right","right","","published","right","omcToken","","","","coll:omc-00187","","right",""
"omc:0019D","roughness","roughness","","published","roughness","omcToken","","","","coll:omc-00198","","roughness",""
"omc:0029A","Rrs","Rrs","Right Rear Surround channel","published","Rrs","omcToken","","","","coll:omc-0025B","","Rrs",""
"omc:00296","Rs","Rs","Right Surround channel","published","Rs","omcToken","","","","coll:omc-0025B","","Rs",""
"omc:002A4","Rsh","Rsh","Right Surround Height channel","published","Rsh","omcToken","","","","coll:omc-0025B","","Rsh",""
"omc:00298","Rss","Rss","Right Surround Height channel","published","Rss","omcToken","","","","coll:omc-0025B","","Rss",""
"omc:002A6","Rssh","Rssh","Right Side Surround Height channel","published","Rssh","omcToken","","","","coll:omc-0025B","","Rssh",""
"omc:002BB","Rst","Rst","Right Surround Top","published","Rst","omcToken","","","","coll:omc-0025B","","Rst",""
"omc:002B9","Rt","Rt","Right Total","published","Rt","omcToken","","","","coll:omc-0025B","","Rt",""
"omc:002AA","Rts","Rts","Right Top Surround channel","published","Rts","omcToken","","","","coll:omc-0025B","","Rts",""
"omc:002A8","Rtsh","Rtsh","Right Rear Surround Height channel","published","Rtsh","omcToken","","","","coll:omc-0025B","","Rtsh",""
